algo,env_id,architecture_signature,updates_per_env_step,segment,n_seeds,mean_energy_kwh,mean_energy_joules,total_flops,mean_energy_per_flop_j_per_flop
tdmpc2,Ant-v5,bs256_h3_ns512_it6_pit24_ne64_nq5_enc2x256_mlp512_lat512_epTrue,1,actor_update,5,0.015404758061055096,55457.12901979835,1461505228800000.0,3.794521424006988e-11
tdmpc2,Ant-v5,bs256_h3_ns512_it6_pit24_ne64_nq5_enc2x256_mlp512_lat512_epTrue,1,buffer_sample,5,0.0033403668138662127,12025.320529918366,0,
tdmpc2,Ant-v5,bs256_h3_ns512_it6_pit24_ne64_nq5_enc2x256_mlp512_lat512_epTrue,1,critic_update,5,0.04160161049780138,149765.79779208498,2784401817600000.0,5.378742279416223e-11
tdmpc2,Ant-v5,bs256_h3_ns512_it6_pit24_ne64_nq5_enc2x256_mlp512_lat512_epTrue,1,rollout,5,0.0707155521851586,254575.98786657094,5618144512000000.0,4.53131789904679e-11
tdmpc2,Ant-v5,bs256_h3_ns512_it6_pit24_ne64_nq5_enc2x256_mlp512_lat512_epTrue,1,target_update,5,0.002917957662015127,10504.647583254457,583269000000.0,1.8009953526167955e-08
tdmpc2,Ant-v5,bs256_h3_ns512_it6_pit24_ne64_nq5_enc2x256_mlp512_lat512_epTrue,1,world_model_pretrain,5,0.003017289547534051,10862.242371122584,212295352320000.0,5.116570971723185e-11
tdmpc2,HalfCheetah-v5,bs256_h3_ns512_it6_pit24_ne64_nq5_enc2x256_mlp512_lat512_epFalse,1,TOTAL_MEASURED_TRAINING,5,0.121445203609084,437202.7329927024,8833272881800000.0,4.9494987740445696e-11
tdmpc2,HalfCheetah-v5,bs256_h3_ns512_it6_pit24_ne64_nq5_enc2x256_mlp512_lat512_epFalse,1,actor_update,5,0.01559468360052912,56140.86096190483,1458149785600000.0,3.8501436214801465e-11
tdmpc2,HalfCheetah-v5,bs256_h3_ns512_it6_pit24_ne64_nq5_enc2x256_mlp512_lat512_epFalse,1,buffer_sample,5,0.0027455654743075227,9884.035707507082,0,
tdmpc2,HalfCheetah-v5,bs256_h3_ns512_it6_pit24_ne64_nq5_enc2x256_mlp512_lat512_epFalse,1,critic_update,5,0.0406589637398451,146372.26946344235,2532402790400000.0,5.7799758402699613e-11
